name,price,price_new,specs,warranty
"
      MacBook Air 11"" (2015) - QWERTY - English (US)
    ","
        $285.00
      ","
          $899.00
        ","
        Core i5 - 1.6 GHz - SSD 256 GB - RAM 4GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2019) - QWERTY - English (US)
    ","
        $1,440.00
      ","
          $1,999.00
        ","
        Touch Bar - Retina - Core i7 - 2.6 GHz - SSD 256 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2015) - QWERTY - English (US)
    ","
        $359.67
      ","
          $1,499.00
        ","
        Retina - Core i7 - 3.1 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      Mac Mini Core i5 2.6GHz (2014)  1TB / 8GB RAM
    ","
        $182.28
      ","
          $699.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2018) - QWERTY - English (US)
    ","
        $583.59
      ","
          $1,399.00
        ","
        Retina - Core i5 - 1.6 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 11"" (2015) - QWERTY - English (US)
    ","
        $176.00
      ","
          $899.00
        ","
        Core i5 - 1.6 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2019) - QWERTY - English (US)
    ","
        $701.00
      ","
          $1,799.00
        ","
        Touch Bar - Retina - Core i5 - 1.4 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Lenovo Chromebook ThinkPad 11e Celeron N2940 1.83 GHz 16GB SSD - 4GB
    ","
        $59.00
      ","
          $250.00
        ","(None,)","
      Warranty: 12 months
    "
"
      iMac 21.5-inch   (Mid-2017) Core i5 2.3GHz  - HDD 1 TB - 8GB
    ","
        $369.99
      ","
          $1,099.00
        ","(None,)","
      Warranty: 12 months
    "
"
      HP 11A G8 EE A4 1.6 ghz 32gb eMMC - 4gb QWERTY - English (US)
    ","
        $99.66
      ","
          $439.99
        ","(None,)","
      Warranty: 12 months
    "
"
      HP Chromebook 14 G4 Celeron 2.16 ghz 16gb SSD - 4gb QWERTY - English (US)
    ","
        $99.99
      ","
          $250.00
        ","(None,)","
      Warranty: 12 months
    "
"
      34-inch Monitor 3440 x 1440 UW-QHD (LS34J552WQNXZA)
    ","
        $279.99
      ","
          $599.99
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2017) - QWERTY - English (US)
    ","
        $382.44
      ","
          $1,297.00
        ","
        Retina - Core i5 - 1.8 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2019) - QWERTY - English (US)
    ","
        $655.16
      ","
          $1,099.00
        ","
        Retina - Core i5 - 1.6 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2017) - QWERTY - English (US)
    ","
        $628.77
      ","
          $2,799.00
        ","
        Touch Bar - Retina - Core i7 - 2.9 GHz - SSD 512 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 15"" (2017) - QWERTY - English (US)
    ","
        $685.93
      ","
          $2,399.00
        ","
        Touch Bar - Retina - Core i7 - 2.8 GHz - SSD 256 GB - RAM 16GB
      ","
      Warranty: 12 months
    "
"
      Acer ChromeBook C740-C4PE Celeron 3205U 1.5 GHz 16GB SSD - 4GB
    ","
        $59.99
      ","
          $114.00
        ","(None,)","
      Warranty: 12 months
    "
"
      iMac 21.5-inch Retina (Early 2019) Core i3 3.6GHz - HDD 1 TB - 8GB
    ","
        $559.99
      ","
          $1,500.00
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2012) - QWERTY - English (US)
    ","
        $189.99
      ","
          $1,199.00
        ","
        Core i5 - 2.5 GHz - HDD 512 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2018) - QWERTY - English (US)
    ","
        $614.99
      ","
          $1,499.00
        ","
        Touch Bar - Retina - Core i5 - 2.3 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      MacBook Pro 13"" (2020) - QWERTY - English (US)
    ","
        $729.99
      ","
          $1,499.00
        ","
        Touch Bar - Retina - Core i5 - 1.4 GHz - SSD 256 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
"
      Dell Latitude 7280 12.5-inch (2019) - Core i5-7300U - 8 GB - SSD 256 GB
    ","
        $845.99
      ","
          $1,099.99
        ","(None,)","
      Warranty: 12 months
    "
"
      MacBook Air 13"" (2017) - QWERTY - English (US)
    ","
        $399.00
      ","
          $413.00
        ","
        Touch Bar - Retina - Core i5 - 1.8 GHz - SSD 128 GB - RAM 8GB
      ","
      Warranty: 12 months
    "
